alert_count,failed_edge_count,ground_connected_source_fraction,node_count,replicate,scenario_id,scenario_seed,sha256,split,topology_id
40,8,0.466667,25,0,Agis-r0,15566494339613965040,ffe6fdad459ae07c8b51240b7ca115e1cafe2ce1fd03af4ac5f2362f0a9df914,eval,Agis
40,3,0.4,25,1,Agis-r1,16323045806345540192,6d50a23437895fdd6d579a09ca6ffc72fcca0e53b6168a19e5efd0ebc8cefdf5,eval,Agis
40,10,0.933333,25,2,Agis-r2,17969966737673119908,57bc9c767e3acdd2e13c7b157892d53832f0dd88ab2465ad3c6508d7c3748515,eval,Agis
40,8,0.333333,27,0,Bbnplanet-r0,4258277787877543916,62990bdfb0a6f6133087d791d162d07b8b121e4988e9986d7a4c2d4b0ac823a7,dev,Bbnplanet
40,14,0.666667,27,1,Bbnplanet-r1,6938569428179988182,12a3f070d441f49cc343ee81ba4c8c039f4abcfbe82e1fda8e5e0a64f7705832,dev,Bbnplanet
40,7,0.666667,21,0,Belnet2008-r0,15286802624455833325,b52a33bd323d56a8a4d26f33c30d30be3e5270b888d05c0259ffc89e09601072,eval,Belnet2008
40,8,0.333333,21,1,Belnet2008-r1,871697653947309889,30823a6c70e0b23b28d4201578262da8ba416c7e9cfdeb2ed4d601d34ad57d0b,eval,Belnet2008
40,2,0.8,21,2,Belnet2008-r2,16180033288022385135,4829e849aff216b8f369990cad81602570af92a7afbfdfd11faf9b1502062297,eval,Belnet2008
40,5,0.533333,18,0,BsonetEurope-r0,11115118226998395478,562b3401774db3813c2851c58199f320d0fa2af1eeaf46d353afafade3007802,eval,BsonetEurope
40,2,0.533333,18,1,BsonetEurope-r1,7815623503489987564,e442ee2f26dfda6cb988a61a94b48a5be3c5d161a19b894e67d03871255c7a88,eval,BsonetEurope
40,10,0.333333,18,2,BsonetEurope-r2,1140146593298868457,372bc01bdd80fb47afc2d5dc4164fe6c012f32d974028b1c95952fb921fd1ad4,eval,BsonetEurope
40,19,0.333333,36,0,BtNorthAmerica-r0,14150741444119254475,b13ce82a6e52f7164176f065988bdbb8982b5817808fd5b43ec787144ce976bb,eval,BtNorthAmerica
40,16,1.0,36,1,BtNorthAmerica-r1,3401516565899209509,4ca4c7357ed492bd0646d65b0cd62c64a0fd061d8df2281f77da97c51ea22a1f,eval,BtNorthAmerica
40,12,0.333333,36,2,BtNorthAmerica-r2,10094003056187242629,5b97ebfa1375e23be2a91ce46d590af99d44585891d726902f55be5b72a7a53b,eval,BtNorthAmerica
40,16,0.6,32,0,Canerie-r0,4120132187390513045,45ea3fc8cc1d3de1146661eae57dd5e87a02dc21f63d60c8a0a6f8640d430405,dev,Canerie
40,13,0.866667,32,1,Canerie-r1,7139684576512261099,71a1dbd8273df82384e2b762b0544ff97d0f378464dc5e764a619f5580fbedd2,dev,Canerie
40,7,0.4,39,0,Cesnet200603-r0,726445141633008049,d5c663985290e95c5862f902a7d786d268fb3a60a1f58607aa882d0f05629c0c,eval,Cesnet200603
40,9,0.666667,39,1,Cesnet200603-r1,4289116980301350753,9dea35609f62d9d9d7dff926376e8d053d63d89af6586f1e11e8d87110156957,eval,Cesnet200603
40,4,0.666667,39,2,Cesnet200603-r2,5195842168826478650,1650320d234dc7546fd3fdd467cfc1f8ddbeb73d80e1da9ab45479bf8ed677dd,eval,Cesnet200603
40,5,0.533333,31,0,Digex-r0,10800825765349067673,fc2c5a7ea0d0accc61c9aeaf18231fe0ac07ac48e685f4d436507acce4c50be2,eval,Digex
40,11,0.333333,31,1,Digex-r1,4553592903677592101,ae8af7c05cc9476eb41bc4d406c76a82b45e8cb1ea24fe282a18ca69ab217e28,eval,Digex
40,3,0.133333,31,2,Digex-r2,6101143522438592080,d5abe4689d3c3720c0578cceeca57bd46a56a008f49917014a54f17cf287c0fe,eval,Digex
40,2,0.133333,19,0,Easynet-r0,581655527901723507,f9701473c2802d52c4f8531367642057a253fd36836329655074f435317cb8ae,eval,Easynet
40,4,0.266667,19,1,Easynet-r1,8614890416410480799,a53d20b8188b6f24e133a2a84144caf05841dd8a841f1dc329e3c62a8ba8b94e,eval,Easynet
40,1,0.066667,19,2,Easynet-r2,17563095875052674419,aec286f7aa7bc71c28d7deb0a8b5cc09e3d2c3ab00973a0ca0e502d14b083ef0,eval,Easynet
40,0,0.0,23,0,Fccn-r0,17530973596694264253,066fe44b5ceedc28f745c224f0041591fc06d64c83d39118d0fe53131aca43c5,dev,Fccn
40,4,0.466667,23,1,Fccn-r1,18348383631147861382,13dfc3d40b5b00c46f77e33896162c9ace74283164d36d8f22edf3f5cd5d0a8e,dev,Fccn
40,2,0.6,24,0,Garr200112-r0,11364974108254927058,76ddcb175305376f39afaada8eb9c4aa34c5ee3335dc6be7cd93a89e9172b608,eval,Garr200112
40,9,0.533333,24,1,Garr200112-r1,2434035492255571931,b4d2fb6b831b8ceb0405131478f67634657848c1632d1d542c3316181001f74a,eval,Garr200112
40,4,0.8,24,2,Garr200112-r2,10068894956960023315,72ead3ae53ad296ef3ed0bc98b4ce343179da819b950c09dcfb0b839b66182a6,eval,Garr200112
40,5,0.6,22,0,Garr200404-r0,198101169295225296,35b39940d5c90fc64dd33123d7b45e1cabbe728ffcf73fa71d50128719fe4e90,eval,Garr200404
40,5,0.666667,22,1,Garr200404-r1,7024765275165438631,d00bcc3539f9a49c1624cc6ec1caa6a918b13118894e50de019e3c4823f3a91b,eval,Garr200404
40,10,0.666667,22,2,Garr200404-r2,11642824855973204170,617930e3bf108e051bea959596c34e87bff58a21a1346b47c2a180e91a586a67,eval,Garr200404
40,4,0.333333,16,0,Marwan-r0,4873392028476308933,88776c9a0f5aeaad1840591c65269ffe32bc7a69ed9376bdd042655b2dee39fe,eval,Marwan
